mod_id,mod_name,mod_version,mod_file,mod_url,display_url,issue_tracker_url
justhammers,Just Hammers,2.0.3+mc1.20.1,justhammers-forge-2.0.3+mc1.20.1.jar,,,
ferritecore,Ferrite Core,6.0.1,ferritecore-6.0.1-forge.jar,,,
globalxp,Global XP,1.12,globalxp-forge-1.20.1-1.12.jar,,https://www.curseforge.com/minecraft/mc-mods/global-xp,
puzzleslib,Puzzles Lib,8.1.32,PuzzlesLib-v8.1.32-1.20.1-Forge.jar,,https://github.com/Fuzss/puzzleslib,https://github.com/Fuzss/puzzleslib/issues
celestisynth,Celestisynth,1.20.1-1.3.1,celestisynth-1.20.1-1.3.1.jar,,,
framework,Framework,0.7.15,framework-forge-1.20.1-0.7.15.jar,,https://mrcrayfish.com/mods?id=framework,
fallingtree,FallingTree,4.3.4,FallingTree-1.20.1-4.3.4.jar,,https://www.curseforge.com/minecraft/mc-mods/falling-tree,https://github.com/Rakambda/FallingTree/issues
furnacerecycle,Furnace Recycle,2.5,furnacerecycle-1.20.1-2.5.jar,,https://serilum.com/mod/furnace-recycle,https://github.com/Serilum/.issue-tracker/labels/Mod:%20Furnace%20Recycle
enchantinginfuser,Enchanting Infuser,8.0.3,EnchantingInfuser-v8.0.3-1.20.1-Forge.jar,,https://github.com/Fuzss/enchantinginfuser,https://github.com/Fuzss/enchantinginfuser/issues
beb,Beautiful Enchanted Books,5.0.0,BEB-Forge-1.20.1-5.0.0.jar,,https://www.curseforge.com/minecraft/mc-mods/beautiful-enchanted-books,https://github.com/CERBON-s-Comissions/Beautiful-Enchanted-Books/issues
